term	section	course	instructor	whenWhere
Fall 2004	3530	PE-124	Depew	MWF 11:00-11:50am PE-101 8/19-12/19
Fall 2005	3530	PE-124	Depew	MWF 11:00-11:50am PE-101
Fall 2002	3530	PE-124	Depew	MWF 11:00-11:50am PE-101
Fall 2001	3530	PE-124	Depew	MWF 11:00-11:50am PE-101
Fall 2007	3530	PE-124	Depew	MWF 11:00-11:50am PE-101 8/16-12/16
Fall 2003	3530	PE-124	Depew	MWF 11:00-11:50am PE-101
Fall 2007	3532	PE-124	Depew	MWF 12:00-12:50pm PE-101 8/16-12/16
Spring 2009	3533	PE-150FC	Depew	  PE-101
Spring 2010	3534	PE-122	Depew	  PE-101
Fall 2003	3534	PE-124	Depew	MWF 1:00-1:50pm PE-101
Spring 2012	3534	PE-122	DePew	  PE-101
Spring 2013	3534	PE-122	DePew	  PE-101
Fall 2002	3534	PE-124	Depew	MWF 1:00-1:50pm PE-101
Spring 2015	3534	KNACT-146A	DePew	  PE-101
Spring 2011	3534	PE-122	Depew	  PE-101 1/22-5/27
Fall 2004	3534	PE-124	Depew	MWF 1:00-1:50pm PE-101 8/19-12/19
Spring 2014	3534	KNACT-146A	DePew	  PE-101
Fall 2012	3536	PE-122	DePew	  PE-101 8/17-12/17
Fall 2010	3536	PE-122	Depew	  PE-101
Fall 2013	3536	KNACT-146A	DePew	  PE-101
Fall 2014	3536	KNACT-146A	DePew	  PE-101
Fall 2015	3536	KNACT-146A	DePew	  PE-101
Fall 2011	3536	PE-122	DePew	  PE-101 8/17-12/17
Spring 2015	3538	KNACT-146B	DePew	  PE-101
Fall 2015	3539	KNACT-146B	DePew	  PE-101
Fall 2014	3539	KNACT-146B	DePew	  PE-101
Fall 2013	3539	KNACT-146B	DePew	  PE-101
Spring 2015	3540	KNACT-146C	DePew	  PE-101
Spring 2014	3540	KNACT-146C	DePew	  PE-101
Spring 2014	3542	KNACT-146D	DePew	  PE-101
Spring 2015	3542	KNACT-146D	DePew	  PE-101
Fall 2014	3546	KNACT-146C	DePew	  PE-101
Fall 2013	3546	KNACT-146C	DePew	  PE-101
Fall 2015	3546	KNACT-146C	DePew	  PE-101
Fall 2011	3547	PE-126	DePew	TTH 9:30-10:45am PE-102 8/17-12/17
Fall 2006	3547	PE-126	Depew	TTH 9:30-10:45am PE-102
Fall 2013	3547	KNACT-144A	DePew	TTH 9:30-10:50am PE-102
Fall 2005	3547	PE-126	Depew	TTH 9:30-10:45am PE-102
Fall 2014	3547	KNACT-144A	DePew	TTH 9:30-10:50am PE-102
Fall 2004	3547	PE-126	Depew	TTH 9:30-10:45am PE-102 8/19-12/19
Fall 2010	3547	PE-126	Depew	TTH 9:30-10:45am PE-102
Fall 2007	3547	PE-126	Depew	TTH 9:30-10:45am PE-102 8/16-12/16
Fall 2012	3547	PE-126	DePew	TTH 9:30-10:45am PE-102 8/17-12/17
Fall 2015	3547	KNACT-144A	DePew	TTH 9:30-10:50am PE-102
Fall 2008	3547	PE-126	Depew	TTH 9:30-10:45am PE-102
Fall 2009	3547	PE-126	Depew	TTH 9:30-10:45am PE-102
Fall 2015	3548	KNACT-140	DePew	TTH 9:30-10:50am PE-102
Fall 2009	3548	PE-129	Depew	TTH 9:30-10:45am PE-102
Fall 2014	3548	KNACT-140	DePew	TTH 9:30-10:50am PE-102
Fall 2010	3548	PE-129	Depew	TTH 9:30-10:45am PE-102
Fall 2011	3548	PE-129	DePew	TTH 9:30-10:45am PE-102 8/17-12/17
Fall 2012	3548	PE-129	DePew	TTH 9:30-10:45am PE-102 8/17-12/17
Fall 2008	3548	PE-129	Depew	TTH 9:30-10:45am PE-102
Fall 2007	3548	PE-129	Depew	TTH 9:30-10:45am PE-102 8/16-12/16
Fall 2013	3548	KNACT-140	DePew	TTH 9:30-10:50am PE-102
Fall 2006	3548	PE-129	Depew	TTH 9:30-10:45am PE-102
Fall 2013	3549	KNACT-144B	DePew	TTH 9:30-10:50am PE-102
Fall 2014	3549	KNACT-144B	DePew	TTH 9:30-10:50am PE-102
Fall 2015	3549	KNACT-144B	DePew	TTH 9:30-10:50am PE-102
Fall 2014	3551	KNACT-146D	DePew	  PE-101
Fall 2013	3551	KNACT-146D	DePew	  PE-101
Fall 2015	3551	KNACT-146D	DePew	  PE-101
Fall 2011	3552	PE-126	DePew	MW 9:30-10:45am PE-102 8/17-12/17
Fall 2013	3552	KNACT-144A	DePew	MW 9:30-10:50am PE-102
Fall 2014	3552	KNACT-144A	DePew	MW 9:30-10:50am PE-102
Fall 2012	3552	PE-126	DePew	MW 9:30-10:45am PE-102 8/17-12/17
Fall 2014	3553	KNACT-144B	DePew	MW 9:30-10:50am PE-102
Fall 2013	3553	KNACT-144B	DePew	MW 9:30-10:50am PE-102
Fall 2013	3554	KNACT-144A	DePew	TTH 12:30-1:50pm PE-102
Fall 2014	3554	KNACT-144A	DePew	TTH 12:30-1:50pm PE-102
Fall 2011	3554	PE-126	DePew	TTH 12:30-1:45pm PE-102 8/17-12/17
Fall 2006	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102
Fall 2012	3554	PE-126	DePew	TTH 12:30-1:45pm PE-102 8/17-12/17
Fall 2015	3554	KNACT-144A	DePew	TTH 12:30-1:50pm PE-102
Fall 2009	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102
Fall 2008	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102
Fall 2010	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102
Fall 2005	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102
Fall 2007	3554	PE-126	Depew	TTH 12:30-1:45pm PE-102 8/16-12/16
Fall 2010	3556	PE-126	Depew	TTH 2:00-3:15pm PE-102
Fall 2015	3556	KNACT-144A	DePew	TTH 2:00-3:20pm PE-102
Fall 2012	3556	PE-126	DePew	TTH 2:00-3:15pm PE-102 8/17-12/17
Fall 2011	3556	PE-126	DePew	TTH 2:00-3:15pm PE-102 8/17-12/17
Fall 2013	3556	KNACT-144A	DePew	TTH 2:00-3:20pm PE-102
Fall 2014	3556	KNACT-144A	DePew	TTH 2:00-3:20pm PE-102
Fall 2013	3557	KNACT-144B	DePew	TTH 12:30-1:50pm PE-102
Fall 2014	3557	KNACT-144B	DePew	TTH 12:30-1:50pm PE-102
Fall 2015	3557	KNACT-144B	DePew	TTH 12:30-1:50pm PE-102
Fall 2015	3558	KNACT-144B	DePew	TTH 2:00-3:20pm PE-102
Fall 2014	3558	KNACT-144B	DePew	TTH 2:00-3:20pm PE-102
Fall 2013	3558	KNACT-144B	DePew	TTH 2:00-3:20pm PE-102
Fall 2013	3561	KNACT-140	DePew	TTH 12:30-1:50pm PE-102
Fall 2007	3561	PE-129	Depew	TTH 12:30-1:45pm PE-102 8/16-12/16
Fall 2012	3561	PE-129	DePew	TTH 12:30-1:45pm PE-102 8/17-12/17
Fall 2006	3561	PE-129	Depew	TTH 12:30-1:45pm PE-102
Fall 2015	3561	KNACT-140	DePew	TTH 12:30-1:50pm PE-102
Fall 2009	3561	PE-129	Depew	TTH 12:30-1:45pm PE-102
Fall 2008	3561	PE-129	Depew	TTH 12:30-1:45pm PE-102
Fall 2014	3561	KNACT-140	DePew	TTH 12:30-1:50pm PE-102
Fall 2010	3561	PE-129	Depew	TTH 12:30-1:45pm PE-102
Fall 2011	3561	PE-129	DePew	TTH 12:30-1:45pm PE-102 8/17-12/17
Fall 2011	3565	PE-129	DePew	TTH 2:00-3:15pm PE-102 8/17-12/17
Fall 2010	3565	PE-129	Depew	TTH 2:00-3:15pm PE-102
Fall 2015	3565	KNACT-140	DePew	TTH 2:00-3:20pm PE-102
Fall 2012	3565	PE-129	DePew	TTH 2:00-3:15pm PE-102 8/17-12/17
Fall 2013	3565	KNACT-140	DePew	TTH 2:00-3:20pm PE-102
Fall 2014	3565	KNACT-140	DePew	TTH 2:00-3:20pm PE-102
Fall 2014	3584	KNACT-150E	DePew	MW 2:00-3:20pm PE-STADIUM
Fall 2015	3585	KNACT-142A	DePew	MW 2:00-3:20pm PE-STADIUM
Spring 2002	3587	PETHE-240D	Depew	MWF 12:00-12:50pm PE-Annex
Fall 2001	3709	PE-186	Depew	TTH 11:00-12:15pm Astroturf
Fall 2002	3709	PE-186	Depew	TTH 11:00-12:15pm Astroturf
Fall 2003	3709	PE-186	Depew	TTH 11:00-12:15pm Astroturf
Summer 2003	3781	PE-099	Depew	MTWTH 8:00-8:50am FIELD 6/23-7/31
Summer 2002	3808	PE-120	Depew	MTWTHFS 9:00-12:00pm PE-ASTRO 8/12-8/17
Spring 2015	4236	KNACT-150E	DePew	MW 12:30-1:50pm PE-STADIUM 3/16-5/20
Fall 2001	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD
Fall 2006	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD
Fall 2005	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD
Fall 2002	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD
Fall 2004	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD 8/19-12/19
Fall 2003	4352	PEIC-206	Depew	MTWTHF 3:30-5:20pm FIELD
Summer 2007	4533	PE-124	Depew	MTWTH 12:45-2:00pm PE-101 6/18-7/26
Summer 2005	4533	PE-124	Depew	MTWTH 12:45-2:00pm PE-101 6/20-7/28
Summer 2006	4533	PE-124	Depew	MTWTH 12:45-2:00pm PE-101 6/19-7/27
Summer 2003	4615	PE-172	Depew	MTWTH 10:30-11:45am COURTS 6/23-7/31
Summer 2002	4615	PE-172	Depew	MTWTH 10:30-11:45am COURTS 6/17-7/25
Summer 2001	4615	PE-172	Depew	MTWTH 10:30-11:45am COURTS 6/18-7/26
Summer 2004	4620	PE-182	Depew	MTWTH 12:45-2:00pm GYM 6/28-8/05
Summer 2006	4748	PETHE-298	Depew	   6/26-8/04
Fall 2015	8047	KNACT-144A	DePew	TTH 5:00-6:20pm PE-102
Fall 2012	8047	PE-126	DePew	MW 5:00-6:15pm PE-102 8/17-12/17
Fall 2013	8047	KNACT-144A	DePew	MW 5:00-6:20pm PE-102
Fall 2014	8047	KNACT-144A	DePew	MW 5:00-6:20pm PE-102
Fall 2011	8047	PE-126	DePew	MW 5:00-6:15pm PE-102 8/17-12/17
Fall 2014	8048	KNACT-144B	DePew	MW 5:00-6:20pm PE-102
Fall 2013	8048	KNACT-144B	DePew	MW 5:00-6:20pm PE-102
Fall 2015	8048	KNACT-144B	DePew	TTH 5:00-6:20pm PE-102
Summer 2004	8086	PE-126	Depew	TTH 7:05-9:10pm PE-102 6/15-8/05
Summer 2003	8092	PE-185	Depew	MW  FIELD 6/02-7/23
Summer 2001	8092	PE-185	Depew	MW 6:30-9:20pm FIELD 6/4-7/25
Summer 2002	8092	PE-185	Depew	MW 6:30-9:20pm FIELD 6/03-7/24
Spring 2012	8327	PE-126	DePew	TTH 5:00-6:15pm PE-102
Spring 2014	8327	KNACT-144A	DePew	TTH 5:00-6:20pm PE-102
Spring 2015	8327	KNACT-144A	DePew	TTH 5:00-6:20pm PE-102
Spring 2013	8327	PE-126	DePew	TTH 5:00-6:15pm PE-102
Spring 2015	8330	KNACT-140	DePew	TTH 5:00-6:20pm PE-102
Spring 2014	8330	KNACT-140	DePew	TTH 5:00-6:20pm PE-102
Spring 2013	8330	PE-129	DePew	TTH 5:00-6:15pm PE-102
Spring 2012	8330	PE-129	DePew	TTH 5:00-6:15pm PE-102
Spring 2014	8331	KNACT-144B	DePew	TTH 5:00-6:20pm PE-102
Spring 2015	8331	KNACT-144B	DePew	TTH 5:00-6:20pm PE-102
Spring 2007	8492	PE-154	Depew	MW 7:00-8:50pm GYM
Fall 2013	8718	KNACT-140	DePew	MW 5:00-6:20pm PE-102
Fall 2014	8718	KNACT-140	DePew	MW 5:00-6:20pm PE-102
Fall 2012	8718	PE-129	DePew	MW 5:00-6:15pm PE-102 8/17-12/17
Fall 2015	8718	KNACT-140	DePew	TTH 5:00-6:20pm PE-102
Fall 2011	8718	PE-129	DePew	MW 5:00-6:15pm PE-102 8/17-12/17
Fall 2004	4130	ENGL-122	DePisa	TTH 2:00-3:35pm H-105 9/07-12/16
Summer 2008	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/16-7/24
Summer 2006	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/19-7/27
Summer 2001	4160	ITAL-120	Depisa	MTWTH 8:15-11:45am H-102 6/18-7/26
Summer 2007	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/18-7/26
Summer 2005	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/20-7/28
Summer 2004	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/28-8/05
Summer 2003	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-212 6/23-7/31
Summer 2009	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/22-7/30
Summer 2010	4160	ITAL-120	DePisa	MTWTH 8:15-11:45am BFL-111 6/14-7/22
Summer 2002	4160	ITAL-120	Depisa	MTWTH 8:15-11:45am SRV-217 6/17-7/25
Spring 2005	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2006	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2007	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2009	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2004	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2008	8091	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Spring 2002	8091	ITAL-155	Depisa	T 7:00-7:30pm H-113
Spring 2002	8092	ITAL-156	Depisa	TT 7:00-7:30pm H-113
Spring 2008	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Spring 2004	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Spring 2009	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Spring 2007	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Spring 2006	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Spring 2005	8092	ITAL-156	DePisa	T 7:00-9:50pm BFL-212
Fall 2008	8111	ENGL-116	DePisa	T 4:00-6:50pm BFL-212
Fall 2007	8111	ENGL-116	DePisa	T 4:00-6:50pm BFL-205 8/16-12/16
Fall 2009	8111	ENGL-116	DePisa	T 4:00-6:50pm LA-113
Fall 2005	8120	ENGL-118	DePisa	T 4:00-6:50pm LC-110
Fall 2006	8120	ENGL-118	DePisa	T 4:00-6:50pm BFL-103
Fall 2003	8147	ENGL-126	DePisa	T 4:00-6:50pm LA-116
Spring 2002	8305	ENGL-122	Depisa	TH 4:00-6:50pm LC-110
Fall 2001	8518	ENGL-122	Depisa	T 4:00-6:50pm LA-114
Fall 2002	8519	ENGL-122	Depisa	TTH 5:15-6:50pm LA-117 9/03-12/12
Spring 2006	8735	ENGL-116	DePisa	T 4:00-6:50pm BFL-111
Spring 2009	8735	ENGL-116	DePisa	T 4:00-6:50pm BFL-111
Spring 2008	8735	ENGL-116	DePisa	T 4:00-6:50pm BFL-212
Spring 2007	8735	ENGL-116	DePisa	T 4:00-6:50pm BFL-111
Spring 2005	8741	ENGL-118	DePisa	T 4:00-6:50pm LA-212
Spring 2004	8741	ENGL-118	DePisa	TTH 5:30-6:45pm LC-109
Fall 2002	8876	ITAL-155	Depisa	T 7:00-9:50pm LA-115
Fall 2004	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-111 8/19-12/19
Fall 2008	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Fall 2003	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-111
Fall 2005	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-111
Fall 2007	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-212 8/16-12/16
Fall 2001	8876	ITAL-155	Depisa	T 7:00-9:50pm H-117
Fall 2009	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-212
Fall 2006	8876	ITAL-155	DePisa	T 7:00-9:50pm BFL-111
Summer 2005	5311	BUS-150H	Dermody	online 6/20-7/28
Fall 2004	8288	BUS-250	Dermody	M 5:30-8:20pm BFL-103 8/19-12/19
Spring 2005	8625	BUSMG-152D	Dermody	S 9:00-12:00pm BFL-102 5/13-5/13
Spring 2005	8636	BUSMG-152E	Dermody	S 9:00-12:00pm BFL-102 3/04-3/04
Spring 2004	8817	BUS-250	Dermody	S 8:00-2:00pm BFL-109 1/31-4/03
Fall 2002	9012	CIS-050B	Dermody	TTH 9:00-1:15pm SRV-201 9/03-9/12
Fall 2001	9086	CIS-050C	Dermody	FSSUSSU 7:00-9:50pm SRV-109 12/7-12/9
Fall 2002	9118	CIS-051A	Dermody	M 6:30-9:45pm SRV-204 8/19-9/23
Fall 2005	9173	CIS-051B	Dermody	FSSUSSU 7:00-9:50pm SRV-203 10/14-10/16
Fall 2004	9176	CIS-051A	Dermody	FSSUSSU 7:00-9:50pm SRV-201 9/24-9/26
Fall 2001	9215	CIS-055B	Dermody	FSSUSSU 7:00-9:50pm SRV-109 11/2-11/4
Fall 2001	9216	CIS-055B	Dermody	TTH 8:00-12:16pm SRV-109 11/27-12/6
Fall 2001	9220	CIS-055D	Dermody	FSSUSSU 7:00-9:50pm SRV-204 10/26-10/28
Fall 2001	9250	CIS-055E	Dermody	T 6:30-9:50pm SRV-203 11/13-12/11
Summer 2001	9289	CIS-041A	Dermody	T 7:00-9:50pm SRV-203 6/5-7/10
Spring 2002	9554	CIS-050C	Dermody	M 6:30-9:45pm SRV-203 3/04-4/08
Spring 2002	9572	CIS-051C	Dermody	M 6:30-9:45pm SRV-204 4/22-5/20
Spring 2002	9609	CIS-053A	Dermody	W 6:30-9:45pm SRV-204 4/24-5/22
Spring 2002	9650	CIS-055A	Dermody	FSSUS 7:00-9:50pm SRV-201 3/15-3/17
Spring 2002	9661	CIS-055B	Dermody	TTH 8:00-12:15pm SRV-201 4/30-5/09
Spring 2002	9667	CIS-055D	Dermody	W 7:00-9:50pm SRV-203 1/16-2/20
Spring 2002	9670	CIS-055E	Dermody	FSSUSU 7:00-9:50pm SRV-204 3/01-3/03
Spring 2015	8132	SPEDU-101	Despins	T 6:00-9:15pm H-117 1/27-5/19
Fall 2015	8432	SPEDU-101	Despins	T 6:00-9:15pm H-117 8/25-12/08
Fall 2001	0448	ESL-067	DeWolf	MWFF 9:00-9:50am LC-101 9/17-12/14
Spring 2005	0479	ESL-078	DeWolf	MWM 9:00-10:15am LC-103
Fall 2006	0479	ESL-076	DeWolf	MWW 10:30-11:45am LC-103
Summer 2005	0557	ESL-081G	DeWolf	MTWTH 9:00-11:05am LC-101 6/20-7/14
Summer 2004	0557	ESL-081G	DeWolf	MTWTH 9:00-11:15am LC-101 6/01-6/24
Summer 2003	0705	ESL-076	DeWolf	MTWTH 10:30-12:35pm LC-101 6/23-7/31
Fall 2004	1067	ESL-081H	DeWolf	F 9:00-12:00pm LC-103 9/17-12/03
Fall 2008	1067	ESL-081H	DeWolf	F 9:00-11:40am LC-103 9/19-12/12
Fall 2010	1067	ESL-081H	DeWolf	F 9:00-11:40am LC-103 8/27-11/19
Fall 2009	1067	ESL-081H	DeWolf	F 9:00-11:40am LC-103 9/18-12/11
Fall 2006	1067	ESL-081H	DeWolf	F 9:00-12:00pm LC-103 9/29-12/15
Spring 2002	1442	ESL-098A	DeWolf	MWFM 8:00-8:50am LC-101
Spring 2002	1901	ESL-067	DeWolf	MWFF 9:00-9:50am LC-101 2/11-5/17
Spring 2004	1901	ESL-067	DeWolf	MWFF 9:00-9:50am LA-113 2/09-5/14
Spring 2011	1915	ESL-098A	DeWolf	TTHTH 9:30-10:45am LC-109 1/22-5/27
Spring 2011	1916	ESL-098A	DeWolf	TTHTH 9:30-10:45am LC-109 1/22-5/27
Spring 2010	1922	ESL-081H	DeWolf	F 9:00-11:50am LC-101 2/19-5/14
Spring 2009	1922	ESL-081H	DeWolf	F 9:00-11:50am LC-101 2/13-5/08
Spring 2011	1930	ESL-081H	DeWolf	TTH 12:30-1:45pm LC-101 2/22-5/19
Fall 2003	3261	ESL-096A	DeWolf	TTHT 8:00-9:15am LC-110
Fall 2005	3261	ESL-096A	DeWolf	TTHT 8:00-9:15am LC-110
Fall 2005	3263	ESL-096A	DeWolf	TTHTH 8:00-9:15am LC-110
Fall 2003	3263	ESL-096A	DeWolf	TTHTH 8:00-9:15am LC-110
Fall 2001	3265	ESL-098A	DeWolf	MWFM 8:00-8:50am LC-101
Fall 2002	3265	ESL-098A	DeWolf	MWFM 8:00-8:50am LC-101
Fall 2002	3266	ESL-096A	DeWolf	TTHT 11:00-12:15pm LC-109
Fall 2005	3266	ESL-096A	DeWolf	TTHT 11:00-12:15pm LC-109
Fall 2005	3268	ESL-096A	DeWolf	TTHTH 11:00-12:15pm LC-109
Fall 2002	3268	ESL-096A	DeWolf	TTHTH 11:00-12:15pm LC-109
Fall 2002	3276	ESL-098A	DeWolf	MWFW 8:00-8:50am LC-101
Fall 2001	3276	ESL-098A	DeWolf	MWFW 8:00-8:50am LC-101
Spring 2002	3294	ESL-098A	DeWolf	MWFW 8:00-8:50am LC-101
Fall 2005	3311	ESL-098A	DeWolf	MWM 9:00-10:15am LC-110
Fall 2003	3311	ESL-098A	DeWolf	MWM 9:00-10:15am LC-110
Fall 2003	3313	ESL-098A	DeWolf	MWW 9:00-10:15am LC-110
Fall 2005	3313	ESL-098A	DeWolf	MWW 9:00-10:15am LC-110
Summer 2002	3997	ESL-081G	DeWolf	MTWTH 8:45-10:05am LC-109 6/17-7/25
Summer 2003	3997	ESL-081G	DeWolf	MTWTH 8:45-10:00am LC-109 6/23-7/31
Summer 2002	4046	ESL-072	DeWolf	MTWTH 10:30-1:20pm LC-103 6/17-7/25
Summer 2006	4047	ESL-067	DeWolf	MTWTH 8:00-10:10am LC-103 6/19-7/27
Summer 2008	4047	ESL-067	DeWolf	MTWTH 8:00-10:50am LC-103 6/16-7/24
Summer 2007	4047	ESL-067	DeWolf	MTWTH 8:00-10:50am LC-103 6/18-7/26
Summer 2007	4880	ESL-081C	DeWolf	MTWTH 11:30-1:35pm LC-101 6/18-7/12
Summer 2008	4880	ESL-081C	DeWolf	MTWTH 11:30-1:35pm LC-101 6/16-7/10
Summer 2004	4880	ESL-081C	DeWolf	MTWTH 11:30-1:45pm LC-101 6/01-6/24
Summer 2001	8047	ESL-067	DeWolf	TWTH 7:00-9:40pm LC-101 6/19-7/26
Spring 2007	8522	ESL-088	DeWolf	M 7:00-9:50pm LC-103
Spring 2006	8522	ESL-088	DeWolf	M 7:00-9:50pm LC-103
Fall 2008	8701	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110
Fall 2009	8701	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110
Fall 2007	8701	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110 8/16-12/16
Fall 2004	8701	ESL-072	DeWolf	TTH 7:00-8:50pm BE-210 8/19-12/19
Fall 2007	8702	ESL-078	DeWolf	W 6:00-9:50pm LC-109 8/16-12/16
Fall 2010	8704	ESL-076	DeWolf	M 7:00-9:50pm LC-109
Fall 2001	8705	ESL-088	DeWolf	W 7:00-9:50pm LC-103
Fall 2004	8708	ESL-067	DeWolf	MW 7:00-8:50pm LC-110 9/08-12/06
Spring 2009	8725	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110
Spring 2004	8725	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110
Spring 2008	8725	ESL-072	DeWolf	TTH 7:00-8:50pm LC-110
Spring 2005	8746	ESL-078	DeWolf	S 8:30-1:00pm LC-101 1/28-5/20
Spring 2008	8759	ESL-078	DeWolf	M 7:00-9:50pm LC-109
Spring 2010	8759	ESL-078	DeWolf	M 7:00-9:50pm LC-109
Spring 2007	8781	ESL-076	DeWolf	W 7:00-9:50pm LC-109
Spring 2006	8781	ESL-076	DeWolf	W 7:00-9:50pm LC-109
Summer 2009	8889	ESL-081H	DeWolf	TTH 6:30-9:20pm LA-117 6/02-7/09
Summer 2011	8889	ESL-081H	DeWolf	TTH 6:30-9:20pm LC-103 6/14-7/21
Summer 2010	8889	ESL-081H	DeWolf	TTH 6:30-9:20pm LA-117 6/15-7/22
Fall 2008	0448	ESL-067	DeYoung	TTH 9:30-11:20am ATC-116
Fall 2011	0468	ESL-067	DeYoung	TTH 9:00-10:50am ATC-116 8/17-12/17
Fall 2010	0468	ESL-067	DeYoung	TTH 9:30-11:20am ATC-116
Fall 2012	0468	ESL-067	DeYoung	TTH 9:00-10:50am ATC-116 8/17-12/17
Spring 2015	0479	ESL-078	DeYoung	MWW 9:30-10:50am LC-103
Fall 2010	0479	ESL-076	DeYoung	MWM 11:00-12:15pm ATC-114
Fall 2014	0479	ESL-076	DeYoung	MWM 9:30-10:50am LC-103
Fall 2015	0479	ESL-076	DeYoung	MWM 9:30-10:50am LC-103
Fall 2013	0479	ESL-076	DeYoung	MWM 9:30-10:50am LC-103
Spring 2014	0479	ESL-078	DeYoung	MWW 9:30-10:50am LC-103
Fall 2014	0483	ESL-078	DeYoung	MWW 11:00-12:20pm LC-103
Fall 2013	0483	ESL-078	DeYoung	MWW 11:00-12:20pm LC-103
Fall 2009	0489	ESL-086	DeYoung	MWM 11:00-12:15pm LC-109
Fall 2009	0493	ESL-088	DeYoung	MWW 9:30-10:45am LC-109
Spring 2010	0730	ESL-088	DeYoung	MWW 9:30-10:45am LC-109
Fall 2009	1008	ESL-081C	DeYoung	F 9:00-11:40am LC-109 9/18-12/11
Spring 2009	1901	ESL-067	DeYoung	F 9:00-12:50pm ATC-116
Spring 2012	1902	ESL-072	DeYoung	MW 12:30-2:20pm LC-110
Spring 2008	1902	ESL-072	DeYoung	MW 12:00-1:50pm LC-103
Spring 2013	1902	ESL-072	DeYoung	MW 12:30-2:20pm LC-110
Spring 2014	1903	ESL-076	DeYoung	MWM 11:00-12:20pm LC-103
Spring 2015	1903	ESL-076	DeYoung	MWM 11:00-12:20pm LC-103
Spring 2011	1903	ESL-076	DeYoung	MWM 11:00-12:15pm LC-103 1/22-5/27
Spring 2012	1911	ESL-096A	DeYoung	MWM 11:00-12:15pm LC-110
Spring 2013	1911	ESL-096A	DeYoung	MWM 11:00-12:15pm LC-110
Spring 2010	2707	ESL-086	DeYoung	MWM 11:00-12:15pm LC-109
Spring 2011	2788	ESL-086	DeYoung	TTHT 11:00-12:15pm LC-101 1/22-5/27
Fall 2009	3297	ESL-086	DeYoung	TTHTH 11:00-12:15pm LC-101
Spring 2009	3336	ESL-081C	DeYoung	TTH 8:00-9:15am LC-103 2/10-5/07
Summer 2009	5023	LS-121	Dezember	online 6/22-8/05
Fall 2009	5089	LS-121	Dezember	online 11/02-12/14
Fall 2006	5089	LS-121	Dezember	online 11/06-12/15
Fall 2011	5089	LS-121	Dezember	online 10/15-11/30
Fall 2007	5089	LS-121	Dezember	online 11/05-12/17
Fall 2008	5089	LS-121	Dezember	online 11/03-12/12
Fall 2010	5089	LS-121	Dezember	online 10/25-12/06
Spring 2008	5308	LS-121	Dezember	online 4/07-5/19
Spring 2012	5308	LS-121	Dezember	online 1/14-2/25
Spring 2009	5314	LS-121	Dezember	online 4/06-5/18
Spring 2011	5314	LS-121	Dezember	online 4/04-5/23
Spring 2010	5314	LS-121	Dezember	online 4/12-5/17
Spring 2007	5314	LS-121	Dezember	online 4/09-5/21
Fall 2015	1693	PHYS-110	Dhakal	TTH 9:30-10:50am PS-177
Fall 2014	1834	PHYS-120	Dhakal	TTHTTH 9:30-10:50am PS-117
Fall 2015	1841	PHYS-121	Dhakal	TTHWM 2:00-3:20pm PS-117
